pmcid	unmapped_diseases
PMC5468415	['dyt1 dystonia']
PMC5468438	['arterial thrombosis', 'dry gangrene']
PMC5468468	['multiple organ system failure']
PMC5468563	['liver injury']
PMC5468594	['cardiac fibrosis']
PMC5469075	['fracture healing impairment due to muscle trauma']
PMC5469758	['chronic inflammatory diseases']
PMC5470110	['influenza infection']
PMC5470692	['burn wounds']
PMC5470953	['doxorubicin-induced cardiomyopathy']
PMC5470955	['radiation-induced cognitive impairments']
PMC5470962	['delay-type hypersensitivity']
PMC5470996	['gastrointestinal tumors', 'liver tumors']
PMC5471007	['ph+ acute lymphoblastic leukemia']
PMC5471041	['metastatic colorectal cancer']
PMC5471203	['myocardial ischemia/reperfusion injury']
PMC5471438	['irritable bowel syndrome with constipation', 'chronic idiopathic constipation']
PMC5471474	['intra-articular adhesion']
PMC5471560	['cerebral ischemic injury']
PMC5472049	['infantile hemangiomas']
PMC5472353	['cyanide poisoning']
PMC5472592	['cerebral ischemia-reperfusion injury']
PMC5472719	['ischemia-reperfusion lung injury']
PMC5472724	['human immunodeficiency virus']
PMC5472849	['critical-sized bone defect']
PMC5473486	['diabetic chronic kidney disease']
PMC5473597	['oral candida albicans infections']
PMC5473599	['mammary gland carcinosarcoma']
PMC5473835	['blast traumatic brain injury']
PMC5474193	['high-grade serous ovarian cancers']
PMC5474708	['learning and memory impairment']
PMC5476363	['radiation-induced osteoporosis']
PMC5476658	['implant-associated staphylococcus aureus infections']
PMC5477238	['ret-rearranged thyroid cancer', 'ret-rearranged lung cancer']
PMC5477350	['limb ischemia/reperfusion injury']
PMC5477490	['influenza a']
PMC5477572	['rhabdomyolysis-induced acute kidney injury']
PMC5477584	['neuronal damage', 'neuronal cell injury', 'neuronal injury']
PMC5477591	['fasl-mediated immunopathologies']
PMC5477782	['polymicrobial sepsis', 'acetaminophen-induced liver injury']
PMC5478128	['soil-transmitted helminthiasis']
PMC5478677	['morphine-induced hyperalgesia']
PMC5478779	['metformin-associated lactic acidosis']
PMC5479278	['metastatic castration-resistant prostate cancer']
PMC5479558	['ischemic cardiomyopathy']
PMC5479688	['detrusor overactivity']
PMC5479715	['chronic inflammatory diseases']
PMC5479746	['metastatic breast cancers']
PMC5479855	['burn infections']
PMC5480044	['spinal cord ischemia reperfusion injury']
PMC5480054	['chemotherapy-induced cardiotoxicity']
PMC5480606	['intimal hyperplasia']
PMC5481380	['solid tumor']
PMC5481390	['chronic cerebral ischemia']
PMC5481645	['renal ischemia reperfusion injury']
PMC5482099	['trauma-hemorrhagic shock-induced lung injury']
PMC5482126	['traumatic spinal cord injury']
PMC5482138	['obesity-associated metabolic disorders']
PMC5482178	['her2+ breast cancer']
PMC5482463	['philadelphia chromosome positive b cell acute lymphoblastic leukemia']
PMC5482638	['erbb2-positive breast cancer']
PMC5482667	['sepsis-induced acute kidney injury']
PMC5482782	['alcohol-induced neurodegeneration', 'alcohol-induced cognitive damage']
PMC5483199	['bone tumors', 'bone metastasis']
PMC5483383	['diabetic renal complications', 'diabetic cardiovascular complications']
PMC5484075	['methamphetamine abuse']
PMC5484589	['graft vs. host disease', 'renal allograft rejection']
PMC5484622	['testicular ischemia-reperfusion injury']
PMC5485343	['corneal wounds']
PMC5485412	['her2-positive metastatic breast cancer']
PMC5485608	['hepatic outflow obstruction']
PMC5485721	['neurological diseases']
PMC5485908	['cocaine use disorder']
PMC5485972	['arthrosclerosis']
PMC5486073	['salt-sensitive hypertension', 'resistant hypertension']
PMC5486075	['camptodactyl-arthropathy-coxa vara-pericarditis syndrome']
PMC5486104	['diabetic dyslipidemia']
PMC5487217	['mll-fusion leukaemia']
PMC5487324	['vascular cognitive impairment']
PMC5487365	['chronic skin ulcers']
PMC5487491	['seizure progression', 'pharmacoresistant status epilepticus']
PMC5487916	['testicular germ cell tumours']
PMC5488092	['implant-associated osteomyelitis']
PMC5488289	['radiation-induced lung injury']
PMC5488359	['neuronal ischemia-reperfusion injuries']
PMC5488387	['myocardial ischemia/reperfusion injury']
PMC5488438	['pancreas damage']
PMC5488531	['global cerebral ischemia/reperfusion injury']
PMC5488602	['cerebral ischemia reperfusion injury']
PMC5488636	['acute cerebral ischemia/reperfusion injuries']
PMC5488646	['chronic prostatitis']
PMC5489362	['secondary pediatric osteoporosis']
PMC5489513	['colonic hypersensitivity']
PMC5489804	['hepatotoxicity', 'nephrotoxicity']
PMC5490269	['solid tumours']
PMC5490567	['fragility fractures']
PMC5491115	['multidrug resistance']
PMC5491320	['chikungunya virus disease']
PMC5491393	['cerebral ischemia-reperfusion injury']
PMC5493154	['renal dysfunction']
PMC5493350	['cartilage injury']
PMC5493359	['chronic renal transplant dysfunction']
PMC5493820	['restenosis']
PMC5494002	['cerebral ischemic injury']
PMC5494065	['hypoxic-ischemic injury']
PMC5494198	['wet age-related macular degeneration']
PMC5494238	['brain metastasis']
PMC5494354	['renal ischemia-reperfusion injury']
PMC5494574	['renal damage', 'metabolic side effects']
PMC5494587	['neonatal hypoxia/ischemia injury']
PMC5494963	['cyanide poisoning']
PMC5494968	['hypermetabolism']
PMC5494972	['tourniquet-induced ischemia/reperfusion injury of skeletal muscle']
PMC5495118	['myeloid malignancies']
PMC5495340	['cardiac ischemia-reperfusion injury']
PMC5495389	['lung inflammatory injury']
PMC5495623	['ovarian tumors']
PMC5495871	['her2-positive breast cancer brain metastasis']
PMC5496185	['peripheral demyelinating neuropathies']
PMC5497659	['severe acute pancreatitis']
PMC5497807	['small?cell lung cancer']
PMC5498471	['breast cancer-induced bone pain']
PMC5498477	['acute ischemic injury']
PMC5498490	['acute pulmonary inflammation']
PMC5498638	['colorectal cancer liver metastases']
PMC5499616	['cerebral ischemia-reperfusion injury']
PMC5499704	['er-positive endocrine-resistant breast cancer']
PMC5499707	['herpetic stromal keratitis']
PMC5499996	['advanced cancer']
PMC5500266	['avian influenza a']
PMC5500416	['cerebellar pathology']
PMC5500481	['cancer-induced bone pain', 'bone metastases']
PMC5500497	['non small cell lung cancer']
PMC5500519	['high-grade glioma', 'leptomeningeal metastasis']
PMC5500556	['hind limb ischemia reperfusion injury']
PMC5501168	['osteoarthritis associated pain']
PMC5501301	['vascular dysfunction', 'renal toxicity']
PMC5501324	['myocardial ischemia/reperfusion']
PMC5501585	['methamphetamine addiction']
PMC5501624	['focal cerebral ischemia reperfusion injury']
PMC5501634	['hepatic ischemia-reperfusion injury']
PMC5501744	['castration-resistant prostate cancer']
PMC5501810	['human immunodeficiency virus', 'inflammatory ulcerative colitis']
PMC5502100	['inflammatory pain']
PMC5502347	['influenza a virus infection']
PMC5502538	['metastatic melanoma']
PMC5503200	['traumatic spinal cord injury']
PMC5503639	['cancer cachexia']
PMC5503809	['upper gastrointestinal adenocarcinomas']
PMC5504366	['liver ischemia/reperfusion injury']
PMC5504528	['antibody-mediated rejection']
PMC5504865	['influenza a virus infection']
PMC5504970	['superficial bladder cancer']
PMC5505050	['delayed cerebral ischemia']
PMC5505069	['partial bladder outlet obstruction']
PMC5505628	['infectious diseases related to liver']
PMC5505655	['nipah virus disease']
PMC5505822	['hypertrophic scarring']
PMC5505953	['osteonecrosis of the femoral head']
PMC5505960	['methicillin-resistant staphylococcus aureus infection']
PMC5506400	['vascular senescence and aging']
PMC5507516	['fetal loss']
PMC5507680	['metastatic colorectal cancer']
PMC5507791	['postoperative intraperitoneal adhesions']
PMC5507933	['colitis-associated colon carcinogenesis']
PMC5508079	['b-cell malignancies', 'b-cll']
PMC5508201	['high-grade gliomas']
PMC5508476	['platinum-resistant ovarian cancer']
PMC5508597	['acute repetitive seizures']
PMC5509431	['fractures']
PMC5510480	['hpv-associated cervical cancer']
PMC5510753	['alphavirus encephalomyelitis']
PMC5510983	['severe acute pancreatitis']
PMC5511057	['burn injury']
PMC5511098	['limb-girdle muscular dystrophy type 2c']
PMC5511296	['autoimmune arthritis']
PMC5511297	['acute and chronic inflammatory pain']
PMC5511513	['human immunodeficiency virus infection']
PMC5511576	['restenosis']
PMC5511669	['lung ischemia/reperfusion injury']
PMC5511769	['nsaid-induced enteropathy']
PMC5512002	['glioblastoma cancer']
PMC5512245	['anogenital cancer']
PMC5513192	['chronic non-healing wounds']
PMC5513417	['diabetic cardiovascular complications']
PMC5513563	['cerebral vasospasm following subarachnoid hemorrhage']
PMC5513762	['psychostimulant use']
PMC5513932	['streptococcal toxic shock syndrome']
PMC5514016	['radiation-induced alopecia']
PMC5514023	['ischemic diseases']
PMC5514412	['cardiac ischemia-reperfusion injury']
PMC5514418	['chronic rhinosinusitis']
PMC5515242	['wound repair']
PMC5515641	['painful neuropathy']
PMC5515821	['generalized anxiety disorders']
PMC5516718	['cholestatic liver fibrosis']
PMC5516786	['acute lung inflammation/injury']
PMC5516865	['platinum-resistant/refractory ovarian cancer', 'hormone receptor-positive her2-negative breast cancer', 'egfr wild-type non-small cell lung cancer']
PMC5516947	['metastatic tumors', 'multidrug resistant tumors']
PMC5517001	['hereditary retinal dystrophies']
PMC5517080	['blind, painful eyes']
PMC5517417	['metastatic prostate cancer']
PMC5517447	['cancer metastasis']
PMC5517632	['liver injury']
PMC5518188	['microvascular ischemia/reperfusion injury']
PMC5518314	['pathological pain states', 'chemotherapy-induced neuropathic pain']
PMC5518614	['acute aortic dissections', 'occlusive vascular diseases']
PMC5518752	['solid tumors']
PMC5518895	['cognitive deficits']
PMC5519168	['doxorubicin induced cardiotoxicity']
PMC5519181	['doxorubicin-induced cardiotoxicity']
PMC5519220	['hip fracture-induced acute lung injury']
PMC5519512	['bone repair', 'fracture healing']
PMC5519565	['central post-stroke pain']
PMC5519620	['chemotherapy-induced cold allodynia']
PMC5519667	['retinal degenerative diseases']
PMC5520182	['lung metastases of triple negative breast cancer']
PMC5520558	['cerebral ischemia and reperfusion']
PMC5520683	['acute pulmonary inflammation']
PMC5520725	['cartilage damage']
PMC5520739	['myocardial ischemia/reperfusion injury']
PMC5520944	['renal ischemia-reperfusion injury']
PMC5521046	['uterine fibrosis']
PMC5521796	['hematopoietic acute radiation syndrome', 'subacute radiation pneumonitis', 'late radiation fibrosis']
PMC5521990	['lumbar radiculopathy']
PMC5522071	['estrogen receptor positive breast cancer']
PMC5522102	['erbb2-amplified cancers']
PMC5522123	['dedifferentiated papillary thyroid cancer']
PMC5522206	['acute radiation-induced liver injury']
PMC5522263	['acute liver injury']
PMC5522264	['hyperuricemic nephropathy']
PMC5522383	['pulmonary artery hypertension', 'myocardial hypertrophy']
PMC5522404	['chagas disease cardiomyopathy']
PMC5522481	['perinatal brain injury']
PMC5522616	['chlamydia trachomatis genital infection']
PMC5522739	['cartilage degenerative diseases']
PMC5523063	['pancreatic neuroendocrine tumors', 'bronchial neuroendocrine tumors']
PMC5523066	['high-grade glioma']
PMC5523440	['sepsis-induced myocardial dysfunction']
PMC5523444	['heart ischemia']
PMC5523751	['asphyxial arrest']
PMC5523756	['acute thrombosis', 'thromboembolic disease']
PMC5524058	['cardiac stress']
PMC5524135	['anogenital cancers']
PMC5524226	['neonatal hypoxic-ischemic injury']
PMC5524232	['osteoporotic back pain', 'spinal canal stenosis', 'chemotherapy-induced neuropathy']
PMC5524405	"[""primary sjögren's syndrome""]"
PMC5525014	['ascites associated with decompensated cirrhosis', 'refractory ascites']
PMC5525635	['mesangial proliferative diseases']
PMC5525636	['myocardial ischemia reperfusion injury']
PMC5526121	['lung injury caused by ischemia-reperfusion']
PMC5526152	['post-traumatic knee osteoarthritis']
PMC5526165	['myocardial ischemia/reperfusion injury']
PMC5526188	['hypoxic-ischemic brain injury']
PMC5526838	['chronic cerebral hypoperfusion']
PMC5526935	['obesity-associated inflammatory and metabolic diseases']
PMC5526989	['human glioma']
PMC5527077	['fungal peritonitis']
PMC5527362	['facial nerve dysfunction']
PMC5527461	['human cd19+ tumors']
PMC5527613	['staphylococcus aureus bloodstream infections']
PMC5527752	['heart failure with reduced ejection fraction']
PMC5528545	['advanced metastatic prostate cancer']
PMC5529097	['diabetic visceral pain']
PMC5529115	['diseases of the lungs and respiratory control network']
PMC5529117	['metastatic colon cancer']
PMC5529206	['coronary no-reflow injury']
PMC5529208	['pulmonary artery hypertension']
PMC5529411	['burn injury']
PMC5530394	['atherosclerotic vascular calcification']
PMC5530418	['acute focal ischemic stroke']
PMC5530466	['hospital-acquired pulmonary dysfunction']
PMC5530589	['hiv mucosal infection']
PMC5530733	['colitis-driven colon cancer']
PMC5531282	['wear particle induced osteolysis', 'aseptic total joint replacement loosening']
PMC5531452	['intra-abdominal adhesions']
PMC5531453	['intra-abdominal adhesions']
PMC5531531	['inflammation-related diseases']
PMC5531749	['acute nausea', 'anticipatory nausea']
PMC5532424	['chemotherapy-induced gastrointestinal toxicity']
PMC5532439	['inflammation-induced injury in cerebral white matter']
PMC5532460	['chronic visceral pain']
PMC5533124	['cardio-metabolic syndrome']
PMC5533188	['age-related bone diseases']
PMC5533315	['renal tubulointerstitial fibrosis']
PMC5533440	['brain death-induced lung injury']
PMC5533736	['severe acute pancreatitis']
PMC5533826	['neonatal hypoxic-ischemic injury']
PMC5535761	"[""duchene's muscular dystrophy""]"
PMC5535850	['palladium allergy']
PMC5535852	['chronic biofilm-infected wounds']
PMC5535857	['cardiac fibrosis']
PMC5535908	['extrapyramidal side effects']
PMC5536043	['squamous cell carcinomas of the head and neck']
PMC5536305	['group b streptococcal sepsis']
PMC5536686	['thermal burn-induced injury']
PMC5537008	['trigeminal neuropathic pain']
PMC5537225	['acute lower respiratory tract infection']
PMC5537243	['adventitial remodeling related disorders']
PMC5537312	['doxorubicin-induced cardiotoxicity']
PMC5537408	['genetic generalized epilepsy']
PMC5537647	['avoidant/restrictive food intake disorder']
PMC5537697	['vascular proliferative disease']
PMC5537908	['metastatic colorectal cancer']
PMC5538171	['nsaids-induced gastropathy']
PMC5538180	['mast cell-derived allergic inflammatory reactions']
PMC5538294	['multidrug?resistant gram?negative bacterial infections']
PMC5538706	['gastric tumor']
PMC5538925	['antipsychotic-induced side effects']
PMC5539877	['acute hematopoietic syndrome']
PMC5540112	['arterial thrombosis']
PMC5540152	['global cerebral ischemia']
PMC5540764	['burkitt lymphoma/leukemia']
PMC5540778	['temporomandibular joint osteoarthritis']
PMC5540793	['her2-overexpressing breast cancer']
PMC5540794	['castration-resistant prostate cancer with bone metastases']
PMC5541027	['inflammatory pain']
PMC5541256	['colitis-accelerated colorectal cancer']
PMC5541679	['graft vs. host disease']
PMC5541900	['cancer-induced bone pain and fractures']
PMC5541950	['lower respiratory tract infections']
PMC5542074	['central pain']
PMC5542172	['radiation-induced pneumonitis']
PMC5542189	['neuroendocrine cervical carcinoma']
PMC5542208	['radiation enteropathy']
PMC5542565	['cardiovascular disorders']
PMC5542577	['inflammatory diseases']
PMC5542637	['inherited bleeding disorder']
PMC5542671	['traumatic spinal cord injuries']
PMC5542686	['luminal breast cancer']
PMC5542787	['diabetic ocular surface diseases']
PMC5542800	['x-linked retinitis pigmentosa']
PMC5543128	['envenomation']
PMC5543406	['minimal hepatic encephalopathy']
PMC5543454	['peritoneal metastasis of gastric cancer']
PMC5544554	['non-small cell lung cancers']
PMC5544558	['castration-resistant prostate cancer']
PMC5544671	['epileptogenesis']
PMC5544712	['influenza b virus infection']
PMC5545590	['spondyloarthritis']
PMC5546123	['hepatic ischemia and reperfusion injury']
PMC5546183	['obstructive airway diseases']
PMC5546238	['chemotherapy-induced neuropathic pain']
PMC5546479	['epstein-barr virus-induced lymphoproliferative disease']
PMC5546782	['implant-related osteomyelitis']
PMC5547238	['pediatric glioblastoma', 'breast cancer brain metastases']
PMC5547942	['cardiovascular risk factors']
PMC5547983	['age-related or injury-related soft tissue loss']
PMC5548021	['vascular cognitive impairment']
PMC5548128	['memory impairment', 'executive cognitive function impairment']
PMC5548338	['her2-positive cancers']
PMC5548457	['radiation-induced necrosis']
PMC5548503	['arterial hypertension']
PMC5548641	['skeletal muscle atrophy']
PMC5548928	['bone defects']
PMC5549459	['impaired immune reconstitution after hematopoietic stem cell transplantation']
PMC5549482	['myocardial ischemia/reperfusion injury']
PMC5549496	['postoperative inflammation', 'postoperative adhesion']
PMC5549550	['nephrotoxicity']
PMC5549876	['chemotherapy-induced orofacial neuropathic pain']
PMC5550099	['itch in patients with chronic kidney disease', 'acute itch', 'itch of dry skin']
PMC5550372	['myocardial ischemia and reperfusion injury']
PMC5550422	['stress-related mood disorders']
PMC5550446	['zika virus']
PMC5550779	['gastrointestinal lesions', 'liver lesions', 'brain lesions']
PMC5550861	['cisplatin-induced ototoxicity']
PMC5551016	['bone metastases']
PMC5551427	['human metapneumovirus infections']
PMC5551455	['platinum-resistant carcinomas']
PMC5551544	['corneal endothelial disease']
PMC5551569	['cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy']
PMC5552114	['renal ischemia reperfusion injury']
PMC5552138	['advanced cancers']
PMC5552191	['b. anthracis infection']
PMC5552218	['severe influenza diseases']
PMC5552361	['chronic allograft rejection']
PMC5552839	['cerebrovascular white matter lesions']
PMC5554083	['pediatric refractory epilepsy']
PMC5554357	['drug seeking', 'maladaptive memories']
PMC5554401	['radiation-induced pulmonary fibrosis']
PMC5554745	['herpes simplex virus type-1 infection']
PMC5554913	['human african trypanosomiasis']
PMC5555105	['cerebral ischemic injury']
PMC5555306	['cyanide poisoning']
PMC5555309	['acute cyanide poisoning']
PMC5555313	['neonatal encephalopathy']
PMC5555407	['cyanide poisoning']
PMC5555412	['h2s/sulfide intoxication']
PMC5555418	['cyanide intoxication']
PMC5555621	['anaplastic large cell lymphomas']
PMC5555671	['spotted fever rickettsioses']
PMC5555682	['cardiac dysfunction']
PMC555575	['allergic airway inflammation']
PMC5555766	['human inhalational anthrax']
PMC5555820	['bone defects']
PMC5555971	['pancreatic neuroendocrine tumors']
PMC5556055	['corneal alkali burn']
PMC5556182	['aging']
PMC5556641	['non small cell lung cancer']
PMC5556853	['skin flap necrosis']
PMC5557294	['chemotherapy-induced peripheral neuropathy']
PMC5557385	['raji lymphoma']
PMC5557577	['uncontrolled hemorrhagic shock']
PMC5557704	['cleft lip and palate']
PMC555771	['low hdl levels']
PMC5557749	['restenosis']
PMC5557905	['hepatitis e virus infection']
PMC5557983	['inflammatory angiogenesis']
PMC5558149	['bisphosphonate-related osteonecrosis of the jaws']
PMC5558428	['tonic pain']
PMC5558648	['postoperative intra-abdominal adhesions']
PMC5558708	['inflammatory pain']
PMC5558731	['restenosis', 'stent thrombosis']
PMC5559200	['transfusion associated rbc alloimmunization']
PMC5559474	['asthma bronchiale']
PMC5559609	['gastric bacterial infection']
PMC5559783	['radiation-induced intestinal injury']
PMC5559813	['nausea and vomiting']
PMC5559863	['primordial follicular depletion']
PMC5560034	['acute limb ischemia']
PMC5560091	['sepsis-induced cardiac dysfunction']
PMC5560265	['b-cell non-hodgkin lymphoma']
PMC5560554	['hiv']
PMC5560646	['myocardial ischemia-reperfusion injury']
PMC5560649	['alcoholic fatty liver disease']
PMC5561113	['bone defect']
PMC5561116	['pulmonary p. aeruginosa infections']
PMC5561267	['transplant rejection']
PMC5561323	['cognitive impairment associated with schizophrenia']
PMC5561496	['progressive hearing loss']
PMC5561516	['chronic multimodal pain']
PMC5561647	['anxiety/depression']
PMC5561795	['renal ischemia/reperfusion injury']
PMC5561808	['coronary allograft vasculopathy']
PMC5561965	['hypertrophic scarring']
PMC5561999	['cervical carcinoma']
PMC5562058	['cardiac fibrosis']
PMC5562185	['diabetic vascular endothelial dysfunction']
PMC5562227	['compromised placental development']
PMC5562346	['amphetamine-induced neurodegeneration']
PMC5562480	['lead intoxication']
PMC5562881	['superficial solid tumors']
PMC5563049	['intracerebral haemorrhage']
PMC5563081	['kras-mutant cancers']
PMC5563469	['vascular inflammation']
PMC5563854	['small-cell lung cancer']
PMC5564457	['hepatic ischemia/reperfusion injury']
PMC5565529	['castration-resistant prostate cancer']
PMC5565879	['colorectal liver metastasis']
PMC5566006	['ethanol-induced hepatotoxicity']
PMC5566009	['inflammatory paw edema']
PMC5566105	['urinary bladder cancers']
PMC5566139	['myocardial ischemia reperfusion injury']
PMC5566224	['myocardial ischemia-reperfusion injuries']
PMC5566361	['bacterial burn infection']
PMC5566392	['graft-vs.-host disease']
PMC5566473	['hematopoietic suppression']
PMC5567134	['endotoxic shock']
PMC5567281	['critical-sized calvarial defects']
PMC5567743	['ischemic brain injury']
PMC5567805	['form-deprivation myopia']
PMC5567817	['sars-cov', 'mers-cov']
PMC5568037	['breast cancer bone metastases']
PMC5568239	['aristolochic acid nephropathy']
PMC5568240	['cardiac injury']
PMC5568415	"[""alzheimer's dementia""]"
PMC5568441	['acute acoustic trauma']
PMC5568940	['cardiac allograft rejection']
PMC5569386	['articular cartilage defects']
PMC5569480	['diabetic cystopathy']
PMC5569587	['burn injuries']
PMC5569594	['renal ischemia/reperfusion injury']
PMC5569598	['tissue damage']
PMC5570061	['psychostimulant use disorders']
PMC5570153	['recurrent glioblastoma']
PMC5570306	['burn infection']
PMC5570388	['liver injury']
PMC5570411	['menopausal symptoms']
PMC5570638	['phlebotomy-induced anemia']
PMC5570662	['toxin-induced liver diseases']
PMC5570667	['solid tumors']
PMC5571015	['liver injury']
PMC5571211	['inflammation-related diseases']
PMC5571323	['lung infections']
PMC5571324	['aspergillus fumigatus infection']
PMC5571536	['diabetic peripheral neuropathy']
PMC5571544	['bladder dysfunction']
PMC5571823	['myocardial ischemia/reperfusion injury']
PMC5572168	['platinum-resistant ovarian cancer', 'brca1/2-mutated breast cancer', 'small-cell lung cancer']
PMC5572234	['neonatal seizures']
PMC5572504	['cardiac fibrosis', 'diastolic failure']
PMC5572660	['influenza a']
PMC5572700	['acute cerebral ischemia']
PMC5572783	['cerebral ischemia and reperfusion injury']
PMC5572834	['hiv-1']
PMC5573325	['thromboembolic disorders']
PMC5573634	['organ transplant rejection']
PMC5573720	['high-grade serous ovarian cancers']
PMC5573849	['discogenic lower back pain']
PMC5574297	['arrhythmias']
PMC5574670	['recurrent high-grade glioma']
PMC5574886	['acute heart failure']
PMC5574967	['oxaliplatin-induced mechanical allodynia']
PMC5574981	['estrogen receptor-positive metastatic breast cancer']
PMC5575104	['hiv associated neurocognitive disease']
PMC5575165	['autoimmune disorders']
PMC5575312	['sperm impairment associated with psychological stress']
PMC5576269	['obesity-related glomerulopathy']
PMC5577220	['solid tumors']
PMC5577315	['cholestatic liver injury']
PMC5577751	['philadelphia chromosome-positive acute lymphoblastic leukemia']
PMC5577804	['functional dyspepsia']
PMC5578033	['inflammatory cutaneous diseases']
PMC5578054	['aortic valve calcification']
PMC5578088	['excessive scarring']
PMC5578424	['cyanide poisoning']
PMC5578428	['pediatric tumors']
PMC5578999	['multidrug-resistant cancer']
PMC5579260	['multidrug-resistant enterococcus faecalis infections']
PMC5579389	['npm-alk + t-cell lymphoma']
PMC5580241	['ischemic brain damage']
PMC5580399	['chlorine gas toxicity']
PMC5580849	['painful peripheral neuropathy']
PMC5581078	['erbb2-overexpressing breast cancer']
PMC5581082	['chronic neuropathic pain']
PMC5581094	['post-cardiac arrest cerebral injury']
PMC5581276	['cocaine use disorder']
PMC5581453	['melanoma metastasis']
PMC5581814	['gut infections']
PMC5582167	['acute glaucoma']
PMC5583293	['anemia in patients with end-stage renal disease', 'anemia induced either by the tumor itself or by chemotherapy']
PMC5583380	['obstructive sleep apnea-related cardiovascular diseases']
PMC5583590	['renal disease']
PMC5583756	['cardiac arrest-induced brain injury']
PMC5583963	['pseudomonas aeruginosa pneumonia']
PMC5584274	['luminal breast cancer']
PMC5584335	['neuroapoptosis']
PMC5584586	['lung metastases']
PMC5584628	['heart failure with preserved ejection fraction']
PMC5584707	['dry eye disorders']
PMC5584874	['hyper-anxiety during alcohol withdrawal']
PMC5585260	['cerebral ischemia and reperfusion injury']
PMC5585605	['hepatotoxicity']
PMC5585726	['acute rejection']
PMC5585811	['non-alcoholic liver disease']
PMC5585843	['metastatic prostate cancer']
PMC5586325	['inflammatory diseases']
PMC5586456	['desmin-related cardiomyopathy']
PMC5586709	['renal ischemia/reperfusion injury']
PMC5586713	['chemotherapy-induced painful neuropathy']
PMC5586843	['intestinal epithelial damage']
PMC5587390	['cancer-related fatigue']
PMC5587405	['metastatic breast cancer']
PMC5587414	['radiation damage']
PMC5587537	['diabetic wounds']
PMC5587596	['testicular ischemia reperfusion damage']
PMC5587598	['cerebral ischemia-reperfusion injury']
PMC5587631	['type i diabetes', 'diabetic bone loss']
PMC5587966	['subarachnoid hemorrhagic brain injury']
PMC5587978	['colon/intestine cancer']
PMC5588794	['neuropathic hypersensitivity']
PMC5588853	['sulfur mustard toxicity']
PMC5589203	['placental malaria']
PMC5589551	['neonatal listeriosis', 'listeriosis-associated brain disease']
PMC5589555	['well-differentiated/dedifferentiated liposarcoma']
PMC5589583	['myxoid and round cell liposarcoma']
PMC5589637	['multidrug-resistant cancers']
PMC5589640	['inflammatory diseases']
PMC5589651	['myocardial ischemia/reperfusion injury']
PMC5589655	['metastatic renal cell carcinoma']
PMC5589669	['spontaneous liver neoplasm']
PMC5589897	['diabetic kidney remodeling', 'renal fibrosis in diabetes']
PMC5590636	['addiction']
PMC5590794	['hepatic cell death']
PMC5590800	['metastatic breast cancer']
PMC5591040	['postoperative cerebral edema']
PMC5591045	['allergic airway diseases']
PMC5591108	['hyper-homocysteinemia']
PMC5591199	['type-1-diabetes-mellitus']
PMC5591241	['type-2 diabetes']
PMC5591244	['pain hypersensitivity', 'bladder disorders']
PMC5591422	['systemic amyloidosis']
PMC5591456	['complex regional pain syndrome-type i']
PMC5591559	['hiv-1-associated brain inflammation']
PMC5591789	['age-related cognitive decline']
PMC5592221	['renal ischemia/reperfusion injury', 'posttransplant ischemia/reperfusion injury leading to delay of graft function']
PMC5592396	['hepatotoxicity', 'nephrotoxicity', 'genotoxicity']
PMC5592833	['uremic cardiomyopathy']
PMC5592953	['diabetic cerebral infarction']
PMC5592969	['hematopoietic injury']
PMC5593187	['nephrotoxicity']
PMC5593227	['inflammatory pain']
PMC5593460	['myocardial ischemia/reperfusion injury']
PMC5593544	['metastatic castration resistant prostate cancer']
PMC5593562	['breast precancerous lesions']
PMC5593770	['invasive gliomas']
PMC5593831	['hepatocarcinoma']
PMC5593885	['solid tumor']
PMC5595171	['bone marrow dysfunction']
PMC5595594	['venous disease']
PMC5595695	['cutaneous wound healing']
PMC5595861	['neurodegeneration associated with pantothenate kinase deficiency']
PMC5595908	['tongue squamous cell carcinomas']
PMC5595969	['inherited retinal degeneration', 'inherited blindness']
PMC5596086	['salmonella enterocolitis']
PMC5596338	['skeletal complications of malignancy']
PMC5596544	['organ fibrogenesis']
PMC5596560	['lung tissue damage']
PMC5596567	['type 2 diabetes-induced cardiomyopathy']
PMC5596569	['metastatic malignant melanoma']
PMC5596572	['hepatic ischemia-reperfusion injury']
PMC5596590	['doxo-induced cardiotoxicity', 'doxo-associated cardiomyopathy']
PMC5596591	['doxorubicin-induced cardiotoxicity']
PMC5596594	['hereditary retinitis pigmentosa']
PMC5597338	['myocardial ischemia-reperfusion injury']
PMC5597540	['ileal anastomotic leakage']
PMC5597607	['kidney development disorders']
PMC5597855	['diffuse traumatic brain injury']
PMC5598226	['drug-induced hepatotoxicity']
PMC5598240	['gastrointestinal toxicity']
PMC5598327	['rhabdomyolysis-induced acute kidney injury']
PMC5598357	['renal ischemia-reperfusion injury']
PMC5598361	['pulmonary ricinosis']
PMC5598373	['developmental neurotoxicity']
PMC5598382	['cisplatin-induced cardiotoxicity']
PMC5598411	['renal ischemia/reperfusion injury']
PMC5598436	['hepatic toxicity', 'renal toxicity']
PMC5598482	['lung tumourigenesis']
PMC5598500	['soman-induced seizures', 'soman intoxication']
PMC5598533	['diabetic hepatopathy']
PMC5598992	['acute liver injury']
PMC5599215	['influenza infection']
